# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"International Journal of Electrochemistry","Int. J. Electrochem."
"International Journal of Emergency Mental Health","Int. J. Emerg. Ment. Health"
"International Journal of Environment and Pollution","Int. J. Environ. Pollut."
"International Journal of Environmental Analytical Chemistry","Int. J. Environ. Anal. Chem."
"International Journal of Environmental Research and Public Health","Int. J. Environ. Res. Public. Health"
"International Journal of Epidemiology","Int. J. Epidemiol."
"International Journal of Equilibrium Research","Int. J. Equilib. Res."
"International Journal of Experimental Diabetes Research","Int. J. Exp. Diabetes Res."
"International Journal of Experimental Pathology","Int. J. Exp. Pathol."
"International Journal of Fertility","Int. J. Fertil."
"International Journal of Fertility and Menopausal Studies","Int. J. Fertil. Menopausal Stud."
"International Journal of Fertility and Women's Medicine","Int. J. Fertil. Womens Med."
"International journal of food microbiology","Int. J. Food Microbiol."
"International Journal of Food Science and Technology","Int. J. Food Sci. Technol."
"International Journal of Food Sciences and Nutrition","Int. J. Food Sci. Nutr."
"International Journal of Forensic Dentistry","Int. J. Forensic Dent."
"International Journal of Gastrointestinal Cancer","Int. J. Gastrointest. Cancer"
"International Journal of Genomics","Int. J. Genomics"
"International Journal of Geriatric Psychiatry","Int. J. Geriatr. Psychiatry"
"International Journal of Group Psychotherapy","Int. J. Group Psychother."
"International Journal of Gynaecology and Obstetrics","Int. J. Gynaecol. Obstet."
"International Journal of Gynecological Pathology","Int. J. Gynecol. Pathol."
"International Journal of Health Care Finance and Economics","Int. J. Health Care Finance Econ."
"International Journal of Health Care Quality Assurance","Int. J. Health Care Qual. Assur."
"International Journal of Health Care Quality Assurance Incorporating Leadership in Health Services","Int. J. Health Care Qual. Assur. Inc. Leadersh. Health Serv."
"International Journal of Health Education","Int. J. Health Educ."
"International Journal of Health Geographics","Int. J. Health Geogr."
"International Journal of Health Planning and Management","Int. J. Health Plann. Manage."
"International Journal of Health Services","Int. J. Health Serv."
"International Journal of Hematologic Oncology","Int. J. Hematol. Oncol."
"International Journal of Hematology","Int. J. Hematol."
"International Journal of Hydrogen Energy","Int. J. Hydrogen Energy"
"International Journal of Hygiene and Environmental Health","Int. J. Hyg. Environ. Health"
"International Journal of Hyperthermia","Int. J. Hyperthermia"
"International Journal of Immunogenetics","Int. J. Immunogenet."
"International Journal of Immunopharmacology","Int. J. Immunopharmacol."
"International Journal of Impotence Research","Int. J. Impot. Res."
"International Journal of Infectious Diseases","Int. J. Infect. Dis."
"International Journal of Injury Control and Safety Promotion","Int. J. Inj. Contr. Saf. Promot."
"International Journal of Instructional Media","Int. J. Instr. Media"
"International Journal of Language and Communication Disorders","Int. J. Lang. Commun. Disord."
"International Journal of Law and Psychiatry","Int. J. Law Psychiatry"
"International Journal of Legal Medicine","Int. J. Leg. Med."
"International Journal of Leprosy","Int. J. Lepr."
"International Journal of Leprosy and Other Mycobacterial Diseases","Int. J. Lepr. Other Mycobact. Dis."
"International Journal of Lower Extremity Wounds","Int. J. Low. Extrem. Wounds"
"International Journal of Mass Spectrometry","Int. J. Mass Spectrom."
"International Journal of Materials Research","Int. J. Mater. Res."
"International Journal of Medical Informatics","Int. J. Med. Inf."
"International Journal of Medical Microbiology","Int. J. Med. Microbiol."
"International Journal of Medical Microbiology, Virology, Parasitology and Infectious Diseases","Int. J. Med. Microbiol. Virol. Parasitol. Infect. Dis."
"International Journal of Microcirculation; Clinical and Experimental","Int. J. Microcirc. Clin. Exp."
"International Journal of Mineral Processing","Int. J. Miner. Process."
"International Journal of Modern Chemistry","Int. J. Mod. Chem."
"International Journal of Modern Organic Chemistry","Int. J. Mod. Org. Chem."
"International Journal of Molecular Medicine","Int. J. Mol. Med."
"International journal of molecular sciences","Int. J. Mol. Sci."
"International Journal of Multiphase Flow","Int. J. Multiphase Flow"
"International Journal of Nanoscience","Int. J. Nanosci."
"International Journal of Neural Systems","Int. J. Neural Syst."
"International Journal of Neurology","Int. J. Neurol."
"International Journal of Neuropharmacology","Int. J. Neuropharmacol."
"International Journal of Neuropsychiatry","Int. J. Neuropsychiatry"
"International Journal of Neuropsychopharmacology","Int. J. Neuropsychopharmacol."
"International Journal of Neuroscience","Int. J. Neurosci."
"International Journal of Nonferrous Metallurgy","Int. J. Nonferrous Metall."
"International Journal of Nuclear Medicine and Biology","Int. J. Nucl. Med. Biol."
"International Journal of Nursing Education Scholarship","Int. J. Nurs. Educ. Scholarsh."
"International Journal of Nursing Practice","Int. J. Nurs. Pract."
"International Journal of Nursing Studies","Int. J. Nurs. Stud."
"International Journal of Obesity","Int. J. Obes."
"International Journal of Obesity and Related Metabolic Disorders","Int. J. Obes. Relat. Metab. Disord."
"International Journal of Occupational and Environmental Health","Int. J. Occup. Environ. Health"
"International Journal of Occupational Health and Safety","Int. J. Occup. Health Saf."
"International Journal of Occupational Medicine and Environmental Health","Int. J. Occup. Med. Environ. Health"
"International Journal of Oncology","Int. J. Oncol."
"International Journal of Oral and Maxillofacial Implants","Int. J. Oral Maxillofac. Implants"
"International Journal of Oral and Maxillofacial Surgery","Int. J. Oral Maxillofac. Surg."
"International Journal of Oral Implantology","Int. J. Oral Implantol."
"International Journal of Oral Myology","Int. J. Oral Myol."
"International Journal of Oral Surgery","Int. J. Oral Surg."
"International Journal of Organic Chemistry","Int. J. Org. Chem."
"International Journal of Orofacial Myology","Int. J. Orofacial Myology"
"International Journal of Orthodontics","Int. J. Orthod."
"International Journal of Paediatric Dentistry","Int. J. Paediatr. Dent."
"International Journal of Pancreatology","Int. J. Pancreatol."
"International Journal of Partial Hospitalization","Int. J. Partial Hosp."
"International Journal of Pediatric Nephrology","Int. J. Pediatr. Nephrol."
"International Journal of Pediatric Otorhinolaryngology","Int. J. Pediatr. Otorhinolaryngol."
"International Journal of Peptide and Protein Research","Int. J. Pept. Protein Res."
"International Journal of Peptide Research and Therapeutics","Int. J. Pept. Res. Ther."
"International Journal of Periodontics and Restorative Dentistry","Int. J. Periodontics Restorative Dent."
"International Journal of Pharmaceutics","Int. J. Pharm."
"International Journal of Pharmaceutics (Amsterdam, Netherlands)","Int. J. Pharm. (Amsterdam, Neth.)"
"International Journal of PIXE","Int. J. PIXE"
"International Journal of Polymer Analysis and Characterization","Int. J. Polym. Anal. Charact."
"International Journal of Polymeric Materials and Polymeric Biomaterials","Int. J. Polym. Mater. Polym. Biomater."
"International Journal of Prosthodontics","Int. J. Prosthodont."
"International Journal of Protein Research","Int. J. Protein Res."
"International Journal of Psychiatry","Int. J. Psychiatry"
"International Journal of Psychiatry in Medicine","Int. J. Psychiatry Med."
"International Journal of Psycho-Analysis","Int. J. Psychoanal."
"International Journal of Psychoanalytic Psychotherapy","Int. J. Psychoanal. Psychother."
"International Journal of Psychophysiology","Int. J. Psychophysiol."
"International Journal of Psychosomatics","Int. J. Psychosom."
"International Journal of Quantum Chemistry","Int. J. Quantum Chem."
"International Journal of Radiation Applications and Instrumentation. Part A, Applied Radiation and Isotopes","Int. J. Rad. Appl. Instrum. [A]"
"International Journal of Radiation Applications and Instrumentation. Part B, Nuclear Medicine and Biology","Int. J. Rad. Appl. Instrum. B"
"International Journal of Radiation Biology","Int. J. Radiat. Biol."
"International Journal of Radiation Biology and Related Studies in Physics, Chemistry and Medicine","Int. J. Radiat. Biol. Relat. Stud. Phys. Chem. Med."
"International Journal of Radiation Oncology, Biology, Physics","Int. J. Radiat. Oncol. Biol. Phys."
"International Journal of Refractory Metals & Hard Materials","Int. J. Refract. Met. Hard Mater."
"International Journal of Rehabilitation Research","Int. J. Rehabil. Res."
"International Journal of Social Psychiatry","Int. J. Soc. Psychiatry"
"International Journal of Sport Nutrition","Int. J. Sport Nutr."
"International Journal of Sport Nutrition and Exercise Metabolism","Int. J. Sport Nutr. Exerc. Metab."
"International Journal of Sports Medicine","Int. J. Sports Med."
"International Journal of STD and AIDS","Int. J. STD AIDS"
"International Journal of Surgical Investigation","Int. J. Surg. Investig."
"International Journal of Systematic and Evolutionary Microbiology","Int. J. Syst. Evol. Microbiol."
"International Journal of Systematic Bacteriology","Int. J. Syst. Bacteriol."
"International Journal of Technology Assessment in Health Care","Int. J. Technol. Assess. Health Care"
"International Journal of the Addictions","Int. J. Addict."
"International Journal of Thermophysics","Int. J. Thermophys."
"International Journal of Tissue Reactions","Int. J. Tissue React."
"International Journal of Toxicology","Int. J. Toxicol."
"International Journal of Trauma Nursing","Int. J. Trauma Nurs."
"International Journal of Tuberculosis and Lung Disease","Int. J. Tuberc. Lung Dis."
"International Journal of Urology","Int. J. Urol."
"International Journal of Zoonoses","Int. J. Zoonoses"
"International Maritime Health","Int. Marit. Health"
"International Materials Reviews","Int. Mater. Rev."
"International Microbiology","Int. Microbiol."
"International Nursing Review","Int. Nurs. Rev."
"International Ophthalmology","Int. Ophthalmol."
"International Ophthalmology Clinics","Int. Ophthalmol. Clin."
"International Orthopaedics","Int. Orthop."
"International Pharmacopsychiatry","Int. Pharmacopsychiatry"
"International Polymer Processing","Int. Polym. Process."
"International Psychiatry Clinics","Int. Psychiatry Clin."
"International Psychogeriatrics","Int. Psychogeriatr."
"International Rehabilitation Medicine","Int. Rehabil. Med."
"International Rescuer","Int. Rescuer"
"International Research Journal of Pure and Applied Chemistry","Int. Res. J. Pure Appl. Chem."
"International Review of Connective Tissue Research","Int. Rev. Connect. Tissue Res."
"International Review of Cytology","Int. Rev. Cytol."
"International Review of Cytology. Supplement","Int. Rev. Cytol. Suppl."
"International Review of Experimental Pathology","Int. Rev. Exp. Pathol."
"International Review of Neurobiology","Int. Rev. Neurobiol."
"International Review of Physiology","Int. Rev. Physiol."
"International Review of Tropical Medicine","Int. Rev. Trop. Med."
"International Reviews in Physical Chemistry","Int. Rev. Phys. Chem."
"International Reviews of Immunology","Int. Rev. Immunol."
"International Surgery","Int. Surg."
"International Symposium on Fluoridation and Preventive Dentistry","Int. Symp. Fluorid. Prev. Dent."
"International Urogynecology Journal and Pelvic Floor Dysfunction","Int. Urogynecol. J. Pelvic Floor Dysfunct."
"International Urology and Nephrology","Int. Urol. Nephrol."
"International Wound Journal","Int. Wound J."
"Internationale Zeitschrift fur Angewandte Physiologie Einschliesslich Arbeitsphysiologie","Int. Z. Angew. Physiol."
"Internationale Zeitschrift fur Klinische Pharmakologie, Therapie und Toxikologie","Int. Z. Klin. Pharmakol. Ther. Toxikol."
"Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Beiheft","Int. Z. Vitam. Ernahrungsforsch. Beih."
"Internationale Zeitschrift fur Vitaminforschung (International Journal of Vitamin Research)","Int. Z. Vitaminforsch."
"Internationales Archiv fur Arbeitsmedizin","Int. Arch. Arbeitsmed."
"Internist","Internist"
"Internistische Praxis","Internist. Prax."
"Intervirology","Intervirology"
"Invasion and Metastasis","Invasion Metastasis"
"Invertebrate Neuroscience","Invert. Neurosci."
"Investigacion Clinica","Invest. Clin."
"Investigation and Practice in Pediatric Pathology","Investig. Pract. Pediatr. Pathol."
"Investigational New Drugs","Invest. New Drugs"
"Investigative and Cell Pathology","Invest. Cell Pathol."
"Investigative Ophthalmology","Invest. Ophthalmol."
"Investigative Ophthalmology and Visual Science","Invest. Ophthalmol. Vis. Sci."
"Investigative Radiology","Invest. Radiol."
"Investigative Urology","Invest. Urol."
"Investor-Owned Hospital Review","Investor. Owned Hosp. Rev."
"iochimica et Biophysica Acta, Biomembranes","Biochim. Biophys. Acta, Biomembr."
"Ion Channels","Ion Channels"
"Ion Exchange and Membranes","Ion Exch. Membr."
"Ionics","Ionics"
"Iowa Dental Bulletin","Iowa Dent. Bull."
"Iowa Dental Journal","Iowa Dent. J."
"Iowa Medicine","Iowa Med."
"Iowa Orthopaedic Journal","Iowa Orthop. J."
"Iowa State University Veterinarian","Iowa State Univ. Vet."
"IPPF Medical Bulletin","IPPF Med. Bull."
"Iraqi Dental Journal","Iraqi Dent. J."
"IRB; A Review of Human Subjects Research","IRB."
"IRCS Journal of Medical Science","IRCS J. Med. Sci."
"Irish Journal of Medical Science","Ir. J. Med. Sci."
"Irish Medical Journal","Ir. Med. J."
"Irish Nurses Journal","Ir. Nurses J."
"Irish Nursing and Hospital World","Ir. Nurs. Hosp. World"
"Irish Nursing News","Ir. Nurs. News"
"IRM; Information and Records Management","IRM."
"Ironmaking & Steelmaking","Ironmaking Steelmaking"
"Iryo","Iryo"
"ISA Transactions","ISA Trans."
"ISIJ International","ISIJ Int."
"Isis","Isis"
"Isotopes in Environmental and Health Studies","Isot. Environ. Health Stud."
"Isozymes; Current Topics in Biological Medical Research","Isozymes Curr. Top. Biol. Med. Res."
"Israel Annals of Psychiatry and Related Disciplines","Isr. Ann. Psychiatr. Relat. Discip."
"Israel Journal of Chemistry","Isr. J. Chem."
"Israel Journal of Dental Medicine","Isr. J. Dent. Med."
"Israel Journal of Dental Sciences","Isr. J. Dent. Sci."
"Israel Journal of Medical Sciences","Isr. J. Med. Sci."
"Israel Journal of Psychiatry and Related Sciences","Isr. J. Psychiatry Relat. Sci."
"Israel Journal of Zoology","Isr. J. Zool."
"Israel Medical Association Journal","Isr. Med. Assoc. J."
"Issledovaniia po Genetike","Issled. Genet."
"Issue Brief, National Health Policy Forum","Issue Brief Natl. Health Policy Forum"
"Issues","Issues"
"Issues in Comprehensive Pediatric Nursing","Issues Compr. Pediatr. Nurs."
"Issues in Health Care","Issues Health Care"
"Issues in Health Care of Women","Issues Health Care Women"
"Issues in Law and Medicine","Issues Law Med."
"Issues in Mental Health Nursing","Issues Ment. Health Nurs."
"Issues in Science and Technology","Issues Sci. Technol."
"Istanbul Universitesi Dishekimligi Fakultesi Dergisi","Istanbul Univ. Dishekim. Fak. Derg."
"Italian General Review of Dermatology","Ital. Gen. Rev. Dermatol."
"Italian Heart Journal","Ital. Heart J."
"Italian Journal of Anatomy and Embryology","Ital. J. Anat. Embryol."
"Italian Journal of Biochemistry","Ital. J. Biochem."
"Italian Journal of Gastroenterology","Ital. J. Gastroenterol."
"Italian Journal of Gastroenterology and Hepatology","Ital. J. Gastroenterol. Hepatol."
"Italian Journal of Neurological Sciences","Ital. J. Neurol. Sci."
"Italian Journal of Orthopaedics and Traumatology","Ital. J. Orthop. Traumatol."
"Italian Journal of Orthopaedics and Traumatology. Supplementum","Ital. J. Orthop. Traumatol. Suppl."
"Italian Journal of Surgical Sciences","Ital. J. Surg. Sci."
"IUBMB Life","IUBMB Life"
"IUCrJ","IUCrJ"
"Iugoslavica Physiologica et Pharmacologica Acta","Iugosl. Physiol. Pharmacol. Acta"
"Iyo Denshi to Seitai Kogaku","Iyodenshi To Seitai Kogaku"
"Izvestiia Akademii Nauk SSSR. Seriia Biologicheskaia","Izv. Akad. Nauk SSSR. Biol."
"Izvestiia Akademii Nauk. Seriia Biologicheskaia","Izv. Akad. Nauk. Ser. Biol."
"Izvestiia na Instituta po Fiziologiia","Izv. Inst. Fiziol. (Sofiia)"
"Izvestiia na Mikrobiologicheskiia Institut","Izv. Mikrobiol. Inst. (Sofiia)"
"Izvestiya Natsional'noi Akademii Nauk Respubliki Kazakhstan, Seriya Khimii i Tekhnologii","Izv. Nats. Akad. Nauk Resp. Kaz., Ser. Khim. Tekhnol."
"Izvestiya Vysshikh Uchebnykh Zavedenii, Khimiya I Khimicheskaya Tekhnologiya","Izv. Vyssh. Uchebn. Zaved., Khim. Khim. Tekhnol."
"JAAMI; Journal of the Association for the Advancement of Medical Instrumentation","J. Assoc. Adv. Med. Instrum."
"Jaarboek van Kankeronderzoek en Kankerbestrijding in Nederland","Jaarb. Kankeronderz. Kankerbestrijd. Ned."
"JACEP","JACEP"
"Jahresbericht, Schweizerische Akademie der Medizinischen Wissenschaften","Jahresber. Schweiz. Akad. Med. Wiss."
"JAMA","JAMA"
"JAMA, the Journal of the American Medical Association","JAMA, J. Am. Med. Assoc."
"Jamaican Nurse","Jamaican Nurse"
"Japan-Hospitals","Jpn. Hosp."
"Japanese Circulation Journal","Jpn. Circ. J."
"Japanese Dental Journal","Jpn. Dent. J."
"Japanese Heart Journal","Jpn. Heart J."
"Japanese Journal of Antibiotics","Jpn. J. Antibiot."
"Japanese Journal of Applied Physics","Jpn. J. Appl. Phys."
"Japanese Journal of Cancer Research","Jpn. J. Cancer Res."
"Japanese Journal of Clinical Oncology","Jpn. J. Clin. Oncol."
"Japanese Journal of Dermatology: Series B","Jpn. J. Dermatol. B"
"Japanese Journal of Experimental Medicine","Jpn. J. Exp. Med."
"Japanese Journal of Genetics","Jpn. J. Genet."
"Japanese Journal of Human Genetics","Jpn. J. Hum. Genet."
"Japanese Journal of Infectious Diseases","Jpn. J. Infect. Dis."
"Japanese Journal of Medical Science and Biology","Jpn. J. Med. Sci. Biol."
"Japanese Journal of Medicine","Jpn. J. Med."
"Japanese Journal of Microbiology","Jpn. J. Microbiol."
"Japanese Journal of Ophthalmology","Jpn. J. Ophthalmol."
"Japanese Journal of Pharmacology","Jpn. J. Pharmacol."
"Japanese Journal of Physiology","Jpn. J. Physiol."
"Japanese Journal of Psychiatry and Neurology","Jpn. J. Psychiatry Neurol."
"Japanese Journal of Surgery","Jpn. J. Surg."
"Japanese Journal of Thoracic and Cardiovascular Surgery","Jpn. J. Thorac. Cardiovasc. Surg."
"Japanese Journal of Tuberculosis","Jpn. J. Tuberc."
"Japanese Journal of Tuberculosis and Chest Diseases","Jpn. J. Tuberc. Chest Dis."
"Japanese Journal of Veterinary Research","Jpn. J. Vet. Res."
"JAPCA","JAPCA"
"JBIC, Journal of Biological Inorganic Chemistry","JBIC, J. Biol. Inorg. Chem."
"JBR-BTR","JBR-BTR"
"JCAH Perspectives","JCAH Perspect."
"JETP Letters","JETP Lett."
"JFMA; Journal of the Florida Medical Association","JFMA."
"JFORL; Journal Francais d'Oto-Rhino Laryngologie, Audiophonologie et Chirurgie Maxillo-Faciale","JFORL J. Fr. Otorhinolaryngol. Audiophonol. Chir. Maxillofac."
"Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi (Journal of Parasitology and Parasitic Diseases)","Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi"
"Jibiinkoka","Jibiinkoka"
"Jikeikai Medical Journal","Jikeikai Med. J."
"Jikken Dobutsu (Experimental Animals)","Jikken Dobutsu"
"Jinrui Idengaku Zasshi","Jinrui Idengaku Zasshi"
"Jinshu Xuebao","Jinshu Xuebao"
"Jisuanji Yu Yingyong Huaxue","Jisuanji Yu Yingyong Huaxue"
"JOGN Nursing","JOGN Nurs."
"Johns Hopkins Medical Journal","Johns Hopkins Med. J."
"Johns Hopkins Medical Journal. Supplement","Johns Hopkins Med. J. Suppl."
"Johns Hopkins Medical Letter, Health After 50","Johns Hopkins Med. Lett. Health After 50"
"Johns Hopkins Nurses Alumni Magazine","Johns Hopkins Nurses Alumni Mag."
"Joint Commission Journal on Quality and Patient Safety","Jt. Comm. J. Qual. Patient Saf."
"Joint Commission Journal on Quality Improvement","Jt. Comm. J. Qual. Improv."
"Joint Commission Perspectives","Jt. Comm. Perspect."
"Joint, Bone, Spine","Joint Bone Spine"
"JOP","JOP"
"Jordan Dental Journal","Jordan Dent. J."
"Jordemodern","Jordemodern"
"Jordmorbladet","Jordmorbladet"
"Jornal Brasileiro de Doencas Toracicas","J. Bras. Doencas Torac."
"Jornal Brasileiro de Psiquiatria","J. Bras. Psiquiatr."
"Jornal da Sociedade das Ciencias Medicas de Lisboa","J. Soc. Cienc. Med. Lisb."
"Jornal de Pediatria","J. Pediatr. (Rio J.)"
"Jornal do Medico","J. Med. (Oporto)"
"Josai Shika Daigaku Kiyo (Bulletin of the Josai Dental University)","Josai Shika Daigaku Kiyo"
"Josanpu Zasshi (Japanese Journal for Midwives)","Josanpu Zasshi"
"Journal Belge de Medecine Physique","J. Belge Med. Phys."
"Journal Belge de Medecine Physique et de Rehabilitation","J. Belge Med. Phys. Rehabil."
"Journal Belge de Radiologie","J. Belge Radiol."
"Journal Belge de Rhumatologie et de Medecine Physique","J. Belge Rhumatol. Med. Phys."
"Journal CANNT","J. CANNT"
"Journal d'Odontologie Conservatrice","J. Odontol. Conserv."
"Journal d'Urologie","J. Urol. (Paris)"
"Journal d'Urologie et de Nephrologie","J. Urol. Nephrol. (Paris)"
"Journal das Auxiliares Odontologicas","J. Aux. Odontol."
"Journal de Biologie Buccale","J. Biol. Buccale"
"Journal de Biomateriaux Dentaires","J. Biomater. Dent."
"Journal de Chirurgie","J. Chir. (Paris)"
"Journal de Genetique Humaine","J. Genet. Hum."
"Journal de Gynecologie, Obstetrique et Biologie de la Reproduction","J. Gynecol. Obstet. Biol. Reprod. (Paris)"
"Journal de la Societe de Biologie","J. Soc. Biol."
"Journal de Medecine de Bordeaux et du Sud-Ouest","J. Med. Bord."
"Journal de Medecine de Lyon","J. Med. Lyon"
"Journal de Microscopie","J. Microsc. (Paris)"
"Journal de Microscopie et de Biologie Cellulaire","J. Microsc. Biol. Cell."
"Journal de Parodontologie","J. Parodontol."
"Journal de Pharmacie de Belgique","J. Pharm. Belg."
"Journal de Pharmacologie","J. Pharmacol."
"Journal de Physiologie","J. Physiol. (Paris)"
"Journal de Physiologie. Supplement","J. Physiol. Suppl. (Paris)"
"Journal de Psychologie Normale et Pathologique","J. Psychol. Norm. Pathol. (Paris)"
"Journal de Radiologie","J. Radiol."
"Journal de Radiologie, d'Electrologie, et de Medecine Nucleaire","J. Radiol. Electrol. Med. Nucl."
"Journal de Stomatologie de Belgique","J. Stomatol. Belg."
"Journal de Toxicologie Clinique et Experimentale","J. Toxicol. Clin. Exp."
"Journal Dentaire du Quebec","J. Dent. Que."
"Journal der Deutschen Dermatologischen Gesellschaft (Journal of the German Society of Dermatology)","J. Dtsch. Dermatol. Ges."
"Journal des Maladies Vasculaires","J. Mal. Vasc."
"Journal des Sciences Medicales de Lille","J. Sci. Med. Lille"
"Journal for Healthcare Quality","J. Healthc. Qual."
"Journal for Hospital Admitting Management","J. Hosp. Admit. Manage."
"Journal for Medicaid Management","J. Medicaid Manage."
"Journal for Nurses in Staff Development","J. Nurses Staff Dev."
"Journal for Specialists in Pediatric Nursing","J. Spec. Pediatr. Nurs."
"Journal Francais d'Ophtalmologie","J. Fr. Ophtalmol."
"Journal Francais d'Oto-Rhino-Laryngologie et Chirurgie Maxillo-Faciale","J. Fr. Otorhinolaryngol. Chir. Maxillofac."
"Journal Francais d'Oto-Rhino-Laryngologie, Audio-Phonologie et Chirurgie Maxillo-Faciale","J. Fr. Otorhinolaryngol. Audiophonol. Chir. Maxillofac."
"Journal Francais d'Oto-Rhino-Laryngologie, Audiophonologie, Chirurgie Maxillo-Faciale","J. Fr. Otorhinolaryngol. Audiophonol. Chir. Maxillofac."
"Journal Francais de Medecine et Chirurgie Thoraciques","J. Fr. Med. Chir. Thorac."
"Journal fur Hirnforschung","J. Hirnforsch."
"Journal Medical Libanais (Lebanese Medical Journal)","J. Med. Liban."
"Journal of AAPOS","J. AAPOS"
"Journal of Abnormal Child Psychology","J. Abnorm. Child Psychol."
"Journal of Abnormal Psychology","J. Abnorm. Psychol."
"Journal of Accident and Emergency Medicine","J. Accid. Emerg. Med."
"Journal of Acquired Immune Deficiency Syndromes","J. Acquir. Immune Defic. Syndr."
"Journal of Acquired Immune Deficiency Syndromes and Human Retrovirology","J. Acquir. Immune Defic. Syndr. Hum. Retrovirol."
"Journal of Addictive Diseases","J. Addict. Dis."
"Journal of Adhesion","J. Adhes."
"Journal of Adhesion Science and Technology","J. Adhes. Sci. Technol."
"Journal of Adhesive Dentistry","J. Adhes. Dent."
"Journal of Adolescence","J. Adolesc."
"Journal of Adolescent Health","J. Adolesc. Health"
"Journal of Adolescent Health Care","J. Adolesc. Health Care"
"Journal of Advanced Ceramics","J. Adv. Ceram."
"Journal of Advanced Dielectrics","J. Adv. Dielectr."
"Journal of Advanced Medical-Surgical Nursing","J. Adv. Med. Surg. Nurs."
"Journal of Advanced Nursing","J. Adv. Nurs."
"Journal of Aerosol Medicine","J. Aerosol Med."
"Journal of Aerosol Science","J. Aerosol Sci."
"Journal of Affective Disorders","J. Affect. Disord."
"Journal of Aging and Health","J. Aging Health"
"Journal of Aging and Social Policy","J. Aging Soc. Policy"
"Journal of Agricultural and Food Chemistry","J. Agric. Food Chem."
"Journal of AHIMA","J. AHIMA"
"Journal of Air Medical Transport","J. Air Med. Transp."
"Journal of Allergy","J. Allergy"
"Journal of Allergy and Clinical Immunology","J. Allergy Clin. Immunol."
"Journal of Allied Health","J. Allied Health"
"Journal of Alloys and Compounds","J. Alloys Compd."
"Journal of Alternative and Complementary Medicine","J. Altern. Complement. Med."
"Journal of Alzheimer's Disease","J. Alzheimers Dis."
"Journal of Ambulatory Care Management","J. Ambulatory Care Manage."
"Journal of Ambulatory Care Marketing","J. Ambul. Care Mark."
"Journal of American College Health","J. Am. Coll. Health"
"Journal of American Health Care","J. Am. Health Care"
"Journal of American Health Policy","J. Am. Health Policy"
"Journal of American Insurance","J. Am. Insur."
"Journal of Analytical and Applied Pyrolysis","J. Anal. Appl. Pyrolysis"
"Journal of Analytical Atomic Spectrometry","J. Anal. At. Spectrom."
"Journal of Analytical Chemistry","J. Anal. Chem."
"Journal of Analytical Methods in Chemistry","J. Anal. Methods Chem."
"Journal of Analytical Psychology","J. Anal. Psychol."
"Journal of Analytical Toxicology","J. Anal. Toxicol."
"Journal of Anatomy","J. Anat."
"Journal of Andrology","J. Androl."
"Journal of Animal Physiology and Animal Nutrition","J. Anim. Physiol. Anim. Nutr."
"Journal of Animal Science","J. Anim. Sci."
"Journal of Animal Science (Champaign, IL, United States)","J. Anim. Sci. (Champaign, IL, U. S.)"
"Journal of Antibiotics","J. Antibiot."
"Journal of Antibiotics. Ser. B.","J. Antibiot. [B]"
"Journal of Antimicrobial Chemotherapy","J. Antimicrob. Chemother."
"Journal of Anxiety Disorders","J. Anxiety Disord."
"Journal of AOAC International","J. AOAC Int."
"Journal of APDSA; Asian Pacific Dental Student Association","J. APDSA (Tokyo)"
"Journal of Applied Animal Welfare Science","J. Appl. Anim. Welfare Sci."
"Journal of Applied Bacteriology","J. Appl. Bacteriol."
"Journal of Applied Behavior Analysis","J. Appl. Behav. Anal."
"Journal of Applied Behavioral Science","J. Appl. Behav. Sci."
"Journal of Applied Biochemistry","J. Appl. Biochem."
"Journal of Applied Biomaterials","J. Appl. Biomater."
"Journal of Applied Clinical Medical Physics","J. Appl. Clin. Med. Phys."
"Journal of Applied Crystallography","J. Appl. Crystallogr."
"Journal of Applied Electrochemistry","J. Appl. Electrochem."
"Journal of Applied Gerontology","J. Appl. Gerontol."
"Journal of Applied Measurement","J. Appl. Meas."
"Journal of Applied Microbiology","J. Appl. Microbiol."
"Journal of Applied Nutrition","J. Appl. Nutr."
"Journal of Applied Physics (Melville, NY, United States)","J. Appl. Phys. (Melville, NY, U. S.)"
"Journal of Applied Physiology","J. Appl. Physiol."
"Journal of Applied Physiology: Respiratory, Environmental and Exercise Physiology","J. Appl. Physiol."
"Journal of Applied Polymer Science","J. Appl. Polym. Sci."
"Journal of Applied Psychology","J. Appl. Psychol."
"Journal of Applied Solution Chemistry and Modeling","J. Appl. Solution Chem. Model."
"Journal of Applied Spectroscopy","J. Appl. Spectrosc."
"Journal of Applied Toxicology","J. Appl. Toxicol."
"Journal of Arthroplasty","J. Arthroplasty"
"Journal of Asian Natural Products Research","J. Asian Nat. Prod. Res."
"Journal of Assisted Reproduction and Genetics","J. Assist. Reprod. Genet."
"Journal of Asthma","J. Asthma"
"Journal of Asthma Research","J. Asthma Res."
"Journal of Atherosclerosis Research","J. Atheroscler. Res."
